,career_level,hard_skills,id,soft_skills,text,title,url
36,,['windows'],36,"['organised', 'customer service']","This isn't only about your existing skills, which is why you will always have an experienced member of staff on hand to help and advise you.  You should have an understanding of WIndows 7 and 10, a genuine interest in IT, be organised, and ideally have an IT-related qualification.  You will be the first point of contact, so customer service skills are crucial to this post.  You will respond, diagnose and resolve or escalate issues.",Software Support Analyst – Career Entry,https://leeds.tech/job/software-support-analyst-career-entry/
37,,[],37,"['confident', 'communicator']","The automation involved in this role is largely around private cloud, so existing knowledge of Hyper-V (essential) and Virtual Machine Manager (VMM) is an advantage. A strong understanding of SSDT and how to use DACPACs to compare schemas is appropriate for this role.  A confident communicator is sought who can engage in technical discussions.",Database Administrator,https://leeds.tech/job/database-administrator/
38,,[],38,[],"In addition to proven experience in a service management role in a medium to large organisations, you will have an excellent understanding of infrastructure and application delivery, working knowledge of ServiceNow, be ITIL Foundation certified and competent with LAN/WAN design and support and problem and change management (ITIL)",Service Analyst,https://leeds.tech/job/service-analyst/
39,,"['csharp|c#', 'selenium', 'c', 'sql']",39,[],"You will have experience with test automation, test management and tracking tools - or similar QA - SQL and programme knowledge.  It will be an advantage if you have knowledge of Selenium, XML or C#.",Automation Tester,https://leeds.tech/job/29200/
40,,[],40,[],"As our next Automation Tester (internally known as Test Engineer) you’ll support test design, execution and automation of tests using appropriate testing tools and techniques. You’ll join a likeminded team in our Technology Delivery function based at either our Leeds or Bradford site.",Automation Tester,https://leeds.tech/job/automation-test-engineer-2/
41,,"['html', 'css']",41,[],"You will need an understanding of all aspects of SEO such as offsite SEO, On-page SEO and Technical SEO; a basic knowledge of HTML & CSS and a working knowledge of Google Analytics, as well as knowledge of various tools including Google My Business, Google Search Console, Google Analytics, Google Data Studio, SEMrush and Majestics SEO.
",SEO Executive,https://leeds.tech/job/seo-executive-3/
42,,[],42,[],You will have a track record of implementing content strategies and campaigns successfully to drive website traffic and improve rankings.  You will be familiar with PR tools such as Gorkana and have experience in managing a portfolio of projects.,Online Content and PR Executive,https://leeds.tech/job/online-content-and-pr-executive/
43,senior,"['linux', '.net|dotnet|dotnetcore']",43,[],"Applications will be welcomed from those who have a detailed knowledge of Linux Kernel, device drivers and Android frameworks, experience in embedded software development, expertise in digital video and DVB software and also in IP networking, wireless and Bluetooth technologies.",Senior Software Engineer,https://leeds.tech/job/senior-software-engineer/
44,senior,"['aws', 'aws|amazon web services', 'configuration management']",44,[],"Your experience must include: automation and configuration management in an enterprise public cloud environment, DevOps and CI/CD Pipeline and knowledge of the principles and implementation, and Cloud computing including AWS in a corporate setting.",Senior DevOps Engineer,https://leeds.tech/job/senior-devops-engineer/
45,,"['java', 'git', 'tdd']",45,['communicator'],"As well as being a naturally good communicator and learner, you will have experience with software development using Java 7 or 8, and exposure to Hibernate, SPring or Git, as well as a knowledge of TDD.",Java Developer,https://leeds.tech/job/java-developer-2/
46,,['cucumber|cucumberbdd'],46,[],"Amongst other experience and skills, you will have extensive QA experience in a lead position a knowledge of current trends and latest test approaches, an understanding of test methodologies, commercial experience in automated software tests with Cucumber and testing RESTful APIs.",Lead QA Automation Engineer,https://leeds.tech/job/lead-qa-automation-engineer/
47,,"['vmware*', 'windows server', 'cisco', 'windows', '.net|dotnet|dotnetcore']",47,[],"Required for this post are an excellent working knowledge of Microsoft Enterprise technologies, Windows Server 2012 and 2016 and VMware vSphere plus a working knowledge of TCP/IP networks.  You will also have a range of knowledge of web technologies, databases, and hands on installation and maintenance of Cisco, Brocade and Check Point technologies.",Engineer,https://leeds.tech/job/engineer/
48,peak,"['agile', 'aws', 'java', 'linux', 'aws|amazon web services']",48,[],"You will have proven experience of the design and implementation of successful web delivery platforms and a range of AWS services.  Further experience will also include migrating apps into AWS and re-architecting.  You will possess a good understanding of Linux and Java based operating systems and app stacks, together with a solid grasp of the principles of Agile and DevOps.",AWS Technical Architect,https://leeds.tech/job/aws-technical-architect/
49,,[],49,[],"You will have at least 3 years' experience of database development and traditional ETL/ELT, API use, web-page scraping, Cloud-based development and much more........ ",Developer/Data Analyst,https://leeds.tech/job/developer-data-analyst/
50,senior,[],50,[],"Experience is required with hiring contractors to produce web scraping modules and with large scale web scraping projects, including management of rate limiting.",Python/Scrapy Senior Developer,https://leeds.tech/job/python-scrapy-senior-developer/
51,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'html', 'css']",51,[],"Juniors must have at least a year's experience, mid-weights 3 years and seniors over 5 years of interface development using HTML, CSS and JavaScript.  If you have worked with an agency, that is preferable.",Front End Developer,https://leeds.tech/job/front-end-developer-2/
52,,['c'],52,"['fast learner', 'enthusiasm', 'team player', 'communicator', 'maths']","If you wish to apply for an apprenticeship, you must have an enthusiasm for SEO, Paid Media or Planning and Insights, or for DIgital Marketing in general.  You will be a fast learner, a good communicator, a team player with a flair for analysis - and you will have GCSE English and Maths at least at grade C, or an equivalent qualification in each case.","Apprenticeships in SEO, Paid Media and Planning and Insights",https://leeds.tech/job/apprenticeships-in-seo-paid-media-and-planning-and-insights/
53,mid-level,[],53,[],"You must have at least three years' agency experience with multi-, large-scale web development/ecommerce projects, together with a thorough understanding of the technical skills required for particular aspects, and the knowledge to select the right people for those tasks.",Project Manager,https://leeds.tech/job/project-manager-2/
54,senior,"['sqlserver|sql server|sqldatatools', 'specflow', 'selenium', 'teamcity', 'gitlab', 'sql']",54,[],"Applicants must have experience and a high level of skill in the following:  GitLab, TeamCity, Octopus Deploy, IIS, SQL Server, Test Automation Solutions, SPecFlow and Selenium Web Drivere.",Senior DevOps Architect/Head of DevOps,https://leeds.tech/job/senior-devops-architect-head-of-devops/
55,,"['csharp|c#', 'c']",55,[],"You are an expert with Unity Game Engine, shader creation and manipulation; and scripting with C# within Unity.  You have experience with creating real-time visual effects sequences, particle and lighting effects.",Unity Technical Artist,https://leeds.tech/job/unity-technical-artist/
56,senior,[],56,['communication'],"Excellent communication skills, together with expertise in casual/mobile mechanics, are requirements for this post.   Also required is an understanding of how to make games engaging, UI/UX challenges and a knowledge of game balancing, pacing mechanics and systems design. ",Senior Game Designer,https://leeds.tech/job/senior-game-designer/
57,,"['rspec', 'rails|ruby on rails|rubyonrails', 'ruby']",57,[],"Experienced in:  Ruby on Rails and e.g. RSpec and Resque.  Understanding of design principles and best practices.  Database technology, source control and a proven track record of producing fully functional web apps.",Ruby on Rails Developer,https://leeds.tech/job/ruby-on-rails-developer/
58,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'react native', 'react']",58,['writing'],"Experience required:  JavaScript coding, up to date best practices in writing front end JavaScript, common JavaScript libraries and frameworks to build apps, at least one React/React Native app.",React/React Native Front End Developer,https://leeds.tech/job/react-react-native-front-end-developer/
59,mid-level,[],59,['organised'],"Applicants will have been educated to degree level, be excellent communicators, especially when it comes to explaining terminology to people unfamiliar with tech; be well organised, have an eye for new business and have the qualities necessary for people management.",Project Manager – Max Card,https://leeds.tech/job/project-manager-max-card/
60,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'csharp|c#', 'reactnative', 'java', 'rails|ruby on rails|rubyonrails', 'c', 'ruby', 'react', 'tdd', 'node.js|nodejs']",60,[],"Experience is required in some of the following:  Javascript (React/Redux/ReactNative/NodeJS),  Unity / C#,  Unreal / C++,  Java,  Haxe,   Swift,    Ruby on Rails.   Experience and skills are required in designing, architecting and delivering clean, modern codebases, including:
Experience with automated testing (BDD/TDD or otherwise)",Full Stack Developer,https://leeds.tech/job/full-stack-developer/
61,mid-level,['agile'],61,[],"Together with at least 5 years' project management experience in an Agile environment, some of which has been gained agency-based, you will have proven ability to work within budget and to given deadlines.  You will also be qualified in Agile project management techniques.",Project Manager,https://leeds.tech/job/29094/
62,,"['javascript', 'nginx', 'javascript|js|es6|ecmascript|ecmascript7', 'html', 'linux', 'git', 'css', 'sql']",62,[],"You will have at least one year of commercial software development experience and any PHO based framework.  You might also have experience of Linux, Nginx, Git-based source control, My SQL/Percona and JavaScript/HTML/CSS.",PHP Software Developer,https://leeds.tech/job/php-software-developer/
63,,"['sqlserver|sql server|sqldatatools', 'windows', 'sql']",63,['writing'],"Experience of 2nd/3rd line software application support, SQL Server, writing SQL/T-SQL queries, Windows operating systems and knowledge of web-based apps.",Service Desk Support Analysts,https://leeds.tech/job/service-desk-support-analysts/
64,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'java', 'html', 'css', 'sql']",64,"['problem-solver', 'analytical', 'passion']","We are looking for someone with at least 3 years of commercial development experience in at least two of the following platforms:
Java, IOS, Android.  You should also have programming passion and be analytical and a good problem-solver, together with having an understanding of web-based design and development.  Additionally, you will have experience in at least one of the following:   databases, SQL, NoSQL, HTML, CSS, JavaScript, XML/XSD, SOAP, REST or others.",Mobile Developer,https://leeds.tech/job/mobile-developer/
65,,"['java', 'sql']",65,"['flexible', 'creative', 'analytical', 'passion', 'problem-solving']","You will have technical knowledge and experience and a passion for development.  Java, database and SQL are preferred, but a willingness to train may be the alternative.  You should have problem-solving and analytical skills, along with a flexible and creative approach to your work.",Developers,https://leeds.tech/job/developers/
66,,[],66,"['enthusiastic', 'communicator']","You are motivational, enthusiastic, an effective communicator and have hands-on experience of our system, together with experience of MS Office.",Trainer and System Consultant,https://leeds.tech/job/trainer-and-system-consultant/
67,,[],67,"['communication', 'analytical']","Blue Logic is looking for someone with good copywriting, analytical and communication skills with a knowledge of the concepts of digital marketing, the main channels and techniques.  ",Digital Marketing Executive,https://leeds.tech/job/digital-marketing-executive-3/
68,,['windows'],68,[],"You will have experience in offering IT support and a knowledge of desktop PCs and operating systems, including Windows XP and WIndows 7.   You will also have knowledge of and worked with firewalls, back up technology, AV software management and IT security. ",1st Line Technical Support,https://leeds.tech/job/1st-line-technical-support/
69,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'php', 'html', 'npm', 'mysql', 'jquery', 'gulp', 'sass', 'css', 'less', 'version control']",69,['communication'],"Excellent communication skills are required for this role, which involves dealing with people across the business.  You will have experience in HTML, CSS< SASS or LESS, responsive CSS, CSS Framework JavaScript, Gulp, NPM, jQUery, AJAX, JSON, PHP and MySQL as well as version control.",Web Developer,https://leeds.tech/job/web-developer/
70,,[],70,"['confident', 'enthusiasm']","Qualified to degree level and with several years' agency experience, you will also have proven skills in data analysis, be confident in the use of Microsoft Office, Google Analytics and Search Console, and possess all-round knowledge of and enthusiasm for SEO.",SEO Strategist,https://leeds.tech/job/seo-strategist/
71,mid-level,[],71,[],"epiphany seeks someone with proven project management experience, who is meticulous about documentation and can prioritise based on commercial criteria.  Additionally, we are looking for someone who can resolve and manage conflict.",Digital Project Manager,https://leeds.tech/job/digital-project-manager-2/
72,senior,[],72,[],The successful applicant will have an in-depth understanding of search and a knowledge of cross-channel marketing.  Experience will include leading large delivery teams. ,Senior Account Manager,https://leeds.tech/job/senior-account-manager/
73,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'zend|zendframework', 'php', 'symfony', 'sql', 'tdd']",73,[],"Your skills will include PHP Symfony2, Zend Framework, Laravel, JavaScript, My SQL, TDD/BDD and an understanding of OOP.",PHP Developer,https://leeds.tech/job/php-developer-7/
74,,[],74,"['creative', 'communicator', 'leadership', 'strategic']","We are looking for someone with the following skills and experience:  Excellent communicator  :   Strategic thinker   :   Good at spotting commercial opportunities   :   Strong leadership   :   Over two years’ agency experience in an account management role, specialising in digital   :   Strong digital marketing knowledge across SEO, paid media, CRO, PR etc.   :   Experience working with creative, development, and digital marketing experts   :   Experience in line management is desirable but not essential.
",Account Manager,https://leeds.tech/job/account-manager-3/
75,junior,[],75,[],"No previous experience of clinical-technical or software testing is required as full on the job training will be given. Aptitude for the role will be more important than previous experience in seeking the ideal candidate for the role, due to the ever-changing developments, and evolving requirements of the software.","Graduate Software Test Analyst, French-speaking",https://leeds.tech/job/graduate-software-test-analyst-french-speaking/
76,senior,[],76,"['organisation', 'talented']","The successful candidate will be a talented Senior Business Intelligence Developer who will be working on a
variety of aspects relating to the delivery of end-to-end data warehousing and Business Intelligence
solutions. Working with colleagues within the Data Services division and the wider company will be
essential.  We don’t expect specific knowledge of ophthalmology, but we’re looking for a quick learner who is genuinely
excited about our product, our market, and how we can improve the practice of specialist eye care. Personal
development is a priority for Medisoft and we would encourage the employee to gain wider exposure to the
organisation's Business Intelligence and develop their management skills.",Senior Business Intelligence Developer,https://leeds.tech/job/senior-business-intelligence-developer/
77,,[],77,['communicator'],"Applicants will have a degree or equivalent in psychology and an interest in UX and CRO, combined with being eager to learn and an excellent communicator.",UX and CRO Executive,https://leeds.tech/job/ux-and-cro-executive/
78,,[],78,[],"Applicants will have a psychology degree or equivalent, with a minimum of one year's experience in digital marketing and data analysis to spot trends.   Experience is also required of UX principles and AB test methodologies.",UX and CRO Analyst,https://leeds.tech/job/ux-and-cro-analyst/
79,junior,"['photoshop', 'illustrator', 'indesign']",79,"['communication', 'creative', 'passion']","With a creative eye and a passion for design, you will understand visual design principles, be adept at Photoshop, Illustrator, InDesign and Sketch.  Add to those at least one year of commercial experience and strong communication skills, and we would like to hear from you.",Junior Digital Designer,https://leeds.tech/job/junior-digital-designer/
80,,[],80,[],You will have media or display-related experience and an understanding of the tools needed to deliver a programmatic campaign.  You will be required to analyse and interpret campaign data and make recommendations.,Programmatic Display Executive,https://leeds.tech/job/programmatic-display-executive/
81,,[],81,"['talented', 'writing']","We seek a talented creator of memorable stunts and strategies with a track record of working with agencies.  You will have an extensive list of contacts and be adept at writing proposals, dealing effectively with clients and managing campaigns.",PR and Social Account Managers,https://leeds.tech/job/pr-and-social-account-managers/
82,peak,[],82,[],"Applicants will have experience with medium to high value sales and be a hunter, closer and have entrepreneurial flair.  Tenacity and professionalism within a fast-paced environment are important qualities.  The essential is to have B2B outbound prospecting experience and of deivering pitches.",Regional Business Development Manager – Full or Part-time,https://leeds.tech/job/regional-business-development-manager-full-or-part-time/
83,,"['javascript', 'javascript|js|es6|ecmascript|ecmascript7', 'sqlserver|sql server|sqldatatools', 'stack', 'jquery', '.net|dotnet|dotnetcore', 'css', 'sql']",83,[],"You will understand and will have implemented object orientated development techniques and principles.  You have experience of SQL Server database design, administration and BI stack, as well as Visual Studio.Net languages, CSS, Javascript and JQuery.  You will also understand mobile platform development tools and technologies.",.NET Developer,https://leeds.tech/job/net-developer-2/
84,mid-level,[],84,[],You will already have experience of working on a number of exciting projects and will not be constrained by convention.  You will have a clear understanding of the industry and be working towards Senior Designer.,Middleweight Designer,https://leeds.tech/job/middleweight-designer/
85,,['git'],85,['time management'],"You will have a minimum of 3 years'experience in a commercial web development role, along with excellent time management skills, Git and text experience.",PHP Developer,https://leeds.tech/job/php-developer-6/
86,senior,[],86,[],"If you have 5 years' experience and an FMCG portfolio, and a real understanding of the FMCG world but you're not tied to the conventions, then you could be who we're looking for.",Senior Designer – FMCG,https://leeds.tech/job/senior-designer-fmcg/
87,,['sql'],87,[],"We are seeking someone who relishes technical challenges and thrives on finding IT solutions; someone who is an experienced BI Developer with skills in T-SQL, SSIS, SSAS and SSRS.",BI Developer,https://leeds.tech/job/bi-developer/
